answerKey,question,choices
A,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}"
A,What do people aim to do at work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete job', 'learn from each other', 'kill animals',
       'wear hats', 'talk to each other'], dtype=object)}"
B,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}"
A,Where are  you likely to find a hamburger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fast food restaurant', 'pizza', 'ground up dead cows', 'mouth',
       'cow carcus'], dtype=object)}"
A,James was looking for a good place to buy farmland.  Where might he look?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['midwest', 'countryside', 'estate', 'farming areas', 'illinois'],
      dtype=object)}"
C,What island country is ferret popular?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}"
D,What do animals do when an enemy is approaching?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel pleasure', 'procreate', 'pass water', 'listen to each other',
       'sing'], dtype=object)}"
A,Reading newspaper one of many ways to practice your what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}"
C,What do people typically do while playing guitar?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cry', 'hear sounds', 'singing', 'arthritis', 'making music'],
      dtype=object)}"
E,What would vinyl be an odd thing to replace?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants', 'record albums', 'record store', 'cheese', 'wallpaper'],
      dtype=object)}"
D,"If you want harmony, what is something you should try to do with the world?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'make noise', 'make war', 'make peace', 'make haste'],
      dtype=object)}"
A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}"
D,Aside from water and nourishment what does your dog need?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bone', 'charm', 'petted', 'lots of attention', 'walked'],
      dtype=object)}"
C,Janet was watching the film because she liked what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['erection', 'laughter', 'being entertained', 'fear', 'bordem'],
      dtype=object)}"
D,What are you waiting alongside with when you're in a reception area?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel', 'chair', 'hospital', 'people', 'hotels'], dtype=object)}"
D,When drinking booze what can you do to stay busy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}"
